match_id,tournament,date,series,game_num,team1,team2,gol_url,youtube_url,offset_seconds
1,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,1,SUP,UOL,https://gol.gg/game/stats/27035/page-timeline/,https://youtube.com/watch?v=xISGpOc4HuE,0
2,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,2,SUP,UOL,https://gol.gg/game/stats/27036/page-timeline/,https://youtube.com/watch?v=vWdNBna35kk,0
3,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,3,SUP,UOL,https://gol.gg/game/stats/27037/page-timeline/,https://youtube.com/watch?v=G5ZI_HFUReU,0
4,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,1,LGD Gaming,LGC,https://gol.gg/game/stats/27030/page-timeline/,https://youtube.com/watch?v=F5kcSheBQJI,0
5,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,2,LGD Gaming,LGC,https://gol.gg/game/stats/27031/page-timeline/,https://youtube.com/watch?v=1iq0xi-E-nk,0
6,World Championship Play-In 2020,2020-09-30,QUAL.ROUND,3,LGD Gaming,LGC,https://gol.gg/game/stats/27032/page-timeline/,https://youtube.com/watch?v=g4mzCGI83kQ,0
7,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,1,MAD Lions,SUP,https://gol.gg/game/stats/27015/page-timeline/,https://www.youtube.com/watch?v=sbp3VEYA190,0
8,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,2,MAD Lions,SUP,https://gol.gg/game/stats/27016/page-timeline/,https://www.youtube.com/watch?v=e-tT5zxI3ps,0
9,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,3,MAD Lions,SUP,https://gol.gg/game/stats/27017/page-timeline/,https://www.youtube.com/watch?v=MiHdRqm1N44,0
10,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,4,MAD Lions,SUP,https://gol.gg/game/stats/27018/page-timeline/,https://www.youtube.com/watch?v=-tZK8lN4StE,0
11,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,5,MAD Lions,SUP,https://gol.gg/game/stats/27019/page-timeline/,https://www.youtube.com/watch?v=V_VdzB8amXw,0
12,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,1,LGD Gaming,Rainbow7,https://gol.gg/game/stats/27010/page-timeline/,https://www.youtube.com/watch?v=ulicCgB4cDE,0
13,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,2,LGD Gaming,Rainbow7,https://gol.gg/game/stats/27011/page-timeline/,https://www.youtube.com/watch?v=rM8vQ7Zbyws,0
14,World Championship Play-In 2020,2020-09-29,ELIM.ROUND,3,LGD Gaming,Rainbow7,https://gol.gg/game/stats/27012/page-timeline/,https://www.youtube.com/watch?v=sM9uuWdpDtY,0
15,World Championship Play-In 2020,2020-09-28,TIEBREAKERS,1,Team Liquid,LGC,https://gol.gg/game/stats/27009/page-timeline/,https://youtube.com/watch?v=Kpz9owTAKBY,0
16,World Championship Play-In 2020,2020-09-28,TIEBREAKERS,1,MAD Lions,ITZ,https://gol.gg/game/stats/27008/page-timeline/,https://www.youtube.com/watch?v=V3qs57BKTrs,0
17,World Championship Play-In 2020,2020-09-28,DAY4,1,SUP,LGC,https://gol.gg/game/stats/26999/page-timeline/,https://youtube.com/watch?v=kt8vBZ6L6lQ,0
18,World Championship Play-In 2020,2020-09-28,DAY4,1,Team Liquid,ITZ,https://gol.gg/game/stats/26998/page-timeline/,https://youtube.com/watch?v=lHV8Q6OQ34k,0
19,World Championship Play-In 2020,2020-09-28,DAY4,1,LGC,MAD Lions,https://gol.gg/game/stats/26997/page-timeline/,https://www.youtube.com/watch?v=o2fM9j2Lwcs,0
20,World Championship Play-In 2020,2020-09-28,DAY4,1,Team Liquid,SUP,https://gol.gg/game/stats/26996/page-timeline/,https://youtube.com/watch?v=s9AWGPNDRq0,0
21,World Championship Play-In 2020,2020-09-27,TIEBREAKERS,1,V3 Esports,LGD Gaming,https://gol.gg/game/stats/27007/page-timeline/,https://www.youtube.com/watch?v=-PurlJp3-d4,0
22,World Championship Play-In 2020,2020-09-27,TIEBREAKERS,1,UOL,PSG Talon,https://gol.gg/game/stats/27006/page-timeline/,https://youtube.com/watch?v=0oVjX4iQ5MU,0
23,World Championship Play-In 2020,2020-09-27,DAY3,1,LGD Gaming,UOL,https://gol.gg/game/stats/26995/page-timeline/,https://youtube.com/watch?v=qX5KJENqEAs,0
